codigo_ibge;nome;latitude;longitude;capital;codigo_uf;siafi_id;ddd;fuso_horario
2900108;Abaíra;-132.488;-416.619;0;29;3301;77;America/Sao_Paulo
2900207;Abaré;-872.073;-391.162;0;29;3303;75;America/Sao_Paulo
2900306;Acajutiba;-116.575;-380.197;0;29;3305;75;America/Sao_Paulo
2900355;Adustina;-105.437;-381.113;0;29;3253;75;America/Sao_Paulo
2900405;Água Fria;-118.618;-387.639;0;29;3307;75;America/Sao_Paulo
2900603;Aiquara;-141.269;-398.937;0;29;3311;73;America/Sao_Paulo
2900702;Alagoinhas;-121.335;-384.208;0;29;3313;75;America/Sao_Paulo
2900801;Alcobaça;-175.195;-392.036;0;29;3315;73;America/Sao_Paulo
2900900;Almadina;-147.089;-396.415;0;29;3317;73;America/Sao_Paulo
2901007;Amargosa;-130.215;-39.602;0;29;3319;75;America/Sao_Paulo
2901106;Amélia Rodrigues;-123.914;-387.563;0;29;3321;75;America/Sao_Paulo
2901155;América Dourada;-114.429;-41.439;0;29;3071;74;America/Sao_Paulo
2901205;Anagé;-146.151;-411.356;0;29;3323;77;America/Sao_Paulo
2901304;Andaraí;-128.049;-413.297;0;29;3325;75;America/Sao_Paulo
2901353;Andorinha;-103.482;-398.391;0;29;3255;74;America/Sao_Paulo
2901403;Angical;-120.063;-447.003;0;29;3327;77;America/Sao_Paulo
2901502;Anguera;-121.462;-392.462;0;29;3329;75;America/Sao_Paulo
2901601;Antas;-103.856;-383.401;0;29;3331;75;America/Sao_Paulo
2901700;Antônio Cardoso;-124.335;-391.176;0;29;3333;75;America/Sao_Paulo
2901809;Antônio Gonçalves;-105.767;-402.785;0;29;3335;74;America/Sao_Paulo
2901908;Aporá;-116.577;-380.814;0;29;3337;75;America/Sao_Paulo
2901957;Apuarema;-138.542;-397.501;0;29;3257;73;America/Sao_Paulo
2902054;Araças;-12.22;-382.027;0;29;3259;75;America/Sao_Paulo
2902005;Aracatu;-14.428;-414.648;0;29;3339;77;America/Sao_Paulo
2902104;Araci;-113.253;-389.584;0;29;3341;75;America/Sao_Paulo
2902203;Aramari;-120.884;-384.969;0;29;3343;75;America/Sao_Paulo
2902252;Arataca;-152.651;-39.419;0;29;3073;73;America/Sao_Paulo
2902302;Aratuípe;-130.716;-390.038;0;29;3345;75;America/Sao_Paulo
2902401;Aurelino Leal;-14.321;-39.329;0;29;3347;73;America/Sao_Paulo
2902500;Baianópolis;-123.016;-445.388;0;29;3349;77;America/Sao_Paulo
2902609;Baixa Grande;-119.519;-40.169;0;29;3351;74;America/Sao_Paulo
2902658;Banzaê;-105.788;-386.212;0;29;3261;75;America/Sao_Paulo
2902708;Barra;-110.859;-431.459;0;29;3353;74;America/Sao_Paulo
2902807;Barra da Estiva;-136.237;-413.347;0;29;3355;77;America/Sao_Paulo
2902906;Barra do Choça;-148.654;-405.791;0;29;3357;77;America/Sao_Paulo
2903003;Barra do Mendes;-11.81;-42.059;0;29;3359;74;America/Sao_Paulo
2903102;Barra do Rocha;-14.2;-395.991;0;29;3361;73;America/Sao_Paulo
2903201;Barreiras;-121.439;-449.968;0;29;3363;77;America/Sao_Paulo
2903235;Barro Alto;-117.605;-419.054;0;29;3075;74;America/Sao_Paulo
2903300;Barro Preto;-147.948;-39.476;0;29;3365;73;America/Sao_Paulo
2903276;Barrocas;-115.272;-390.776;0;29;1110;75;America/Sao_Paulo
2903409;Belmonte;-158.608;-388.758;0;29;3367;73;America/Sao_Paulo
2903508;Belo Campo;-150.334;-412.652;0;29;3369;77;America/Sao_Paulo
2903607;Biritinga;-116.072;-388.051;0;29;3371;75;America/Sao_Paulo
2903706;Boa Nova;-143.598;-402.064;0;29;3373;77;America/Sao_Paulo
2903805;Boa Vista do Tupim;-126.498;-406.064;0;29;3375;75;America/Sao_Paulo
2903904;Bom Jesus da Lapa;-132.506;-434.108;0;29;3377;77;America/Sao_Paulo
2903953;Bom Jesus da Serra;-143.663;-405.126;0;29;3263;77;America/Sao_Paulo
2904001;Boninal;-127.069;-418.286;0;29;3379;75;America/Sao_Paulo
2904050;Bonito;-119.668;-412.647;0;29;3265;75;America/Sao_Paulo
2904100;Boquira;-128.205;-427.324;0;29;3381;77;America/Sao_Paulo
2904209;Botuporã;-133.772;-425.163;0;29;3383;77;America/Sao_Paulo
2904308;Brejões;-131.039;-397.988;0;29;3385;75;America/Sao_Paulo
2904407;Brejolândia;-124.815;-439.679;0;29;3387;77;America/Sao_Paulo
2904506;Brotas de Macaúbas;-119.915;-426.326;0;29;3389;77;America/Sao_Paulo
2904605;Brumado;-142.021;-416.696;0;29;3391;77;America/Sao_Paulo
2904704;Buerarema;-149.595;-393.028;0;29;3393;73;America/Sao_Paulo
2904753;Buritirama;-107.171;-436.302;0;29;3079;77;America/Sao_Paulo
2904803;Caatiba;-149.699;-404.092;0;29;3395;77;America/Sao_Paulo
2904852;Cabaceiras do Paraguaçu;-125.317;-391.902;0;29;3267;75;America/Sao_Paulo
2904902;Cachoeira;-125.994;-389.587;0;29;3397;75;America/Sao_Paulo
2905008;Caculé;-145.003;-422.229;0;29;3399;77;America/Sao_Paulo
2905107;Caém;-110.677;-40.432;0;29;3401;74;America/Sao_Paulo
2905156;Caetanos;-143.347;-409.175;0;29;3269;77;America/Sao_Paulo
2905206;Caetité;-140.684;-424.861;0;29;3403;77;America/Sao_Paulo
2905305;Cafarnaum;-116.914;-414.688;0;29;3405;74;America/Sao_Paulo
2905404;Cairu;-134.904;-390.465;0;29;3407;75;America/Sao_Paulo
2905503;Caldeirão Grande;-110.208;-402.956;0;29;3409;74;America/Sao_Paulo
2905602;Camacan;-154.142;-394.919;0;29;3411;73;America/Sao_Paulo
2905701;Camaçari;-126.996;-383.263;0;29;3413;71;America/Sao_Paulo
2905800;Camamu;-139.398;-391.071;0;29;3415;73;America/Sao_Paulo
2905909;Campo Alegre de Lourdes;-952.221;-430.126;0;29;3417;74;America/Sao_Paulo
2906006;Campo Formoso;-105.105;-40.32;0;29;3419;74;America/Sao_Paulo
2906105;Canápolis;-130.725;-44.201;0;29;3421;77;America/Sao_Paulo
2906204;Canarana;-116.858;-417.677;0;29;3423;74;America/Sao_Paulo
2906303;Canavieiras;-156.722;-389.536;0;29;3425;73;America/Sao_Paulo
2906402;Candeal;-118.049;-391.203;0;29;3427;75;America/Sao_Paulo
2906501;Candeias;-126.716;-385.472;0;29;3429;71;America/Sao_Paulo
2906600;Candiba;-144.097;-428.667;0;29;3431;77;America/Sao_Paulo
2906709;Cândido Sales;-154.993;-412.414;0;29;3433;77;America/Sao_Paulo
2906808;Cansanção;-106.647;-394.944;0;29;3435;75;America/Sao_Paulo
2906824;Canudos;-990.014;-391.471;0;29;3085;75;America/Sao_Paulo
2906857;Capela do Alto Alegre;-116.658;-398.349;0;29;3081;75;America/Sao_Paulo
2906873;Capim Grosso;-113.797;-400.089;0;29;3083;74;America/Sao_Paulo
2906899;Caraíbas;-147.177;-412.603;0;29;3271;77;America/Sao_Paulo
2906907;Caravelas;-177.268;-392.597;0;29;3437;73;America/Sao_Paulo
2907004;Cardeal da Silva;-119.472;-379.469;0;29;3439;75;America/Sao_Paulo
2907103;Carinhanha;-142.985;-437.724;0;29;3441;77;America/Sao_Paulo
2907202;Casa Nova;-916.408;-40.974;0;29;3443;74;America/Sao_Paulo
2907301;Castro Alves;-127.579;-394.248;0;29;3445;75;America/Sao_Paulo
2907400;Catolândia;-12.31;-448.648;0;29;3447;77;America/Sao_Paulo
2907509;Catu;-123.513;-383.791;0;29;3449;71;America/Sao_Paulo
2907558;Caturama;-133.239;-422.904;0;29;3273;77;America/Sao_Paulo
2907608;Central;-111.376;-421.116;0;29;3451;74;America/Sao_Paulo
2907707;Chorrochó;-89.695;-390.979;0;29;3453;75;America/Sao_Paulo
2907806;Cícero Dantas;-105.897;-383.794;0;29;3455;75;America/Sao_Paulo
2907905;Cipó;-111.032;-385.179;0;29;3457;75;America/Sao_Paulo
2908002;Coaraci;-14.637;-395.556;0;29;3459;73;America/Sao_Paulo
2908101;Cocos;-141.814;-445.352;0;29;3461;77;America/Sao_Paulo
2908200;Conceição da Feira;-125.078;-389.978;0;29;3463;75;America/Sao_Paulo
2908309;Conceição do Almeida;-127.836;-391.715;0;29;3465;75;America/Sao_Paulo
2908408;Conceição do Coité;-11.56;-392.808;0;29;3467;75;America/Sao_Paulo
2908507;Conceição do Jacuípe;-123.268;-387.684;0;29;3469;75;America/Sao_Paulo
2908606;Conde;-118.179;-376.131;0;29;3471;75;America/Sao_Paulo
2908705;Condeúba;-149.022;-419.718;0;29;3473;77;America/Sao_Paulo
2908804;Contendas do Sincorá;-137.537;-41.048;0;29;3475;77;America/Sao_Paulo
2908903;Coração de Maria;-122.333;-387.487;0;29;3477;75;America/Sao_Paulo
2909000;Cordeiros;-150.356;-419.308;0;29;3479;77;America/Sao_Paulo
2909109;Coribe;-138.232;-444.586;0;29;3481;77;America/Sao_Paulo
2909208;Coronel João Sá;-102.847;-379.198;0;29;3483;75;America/Sao_Paulo
2909307;Correntina;-133.477;-446.333;0;29;3485;77;America/Sao_Paulo
2909406;Cotegipe;-120.228;-442.566;0;29;3487;77;America/Sao_Paulo
2909505;Cravolândia;-133.531;-398.031;0;29;3489;73;America/Sao_Paulo
2909604;Crisópolis;-115.059;-381.515;0;29;3491;75;America/Sao_Paulo
2909703;Cristópolis;-122.249;-444.214;0;29;3493;77;America/Sao_Paulo
2909802;Cruz das Almas;-126.675;-391.008;0;29;3495;75;America/Sao_Paulo
2909901;Curaçá;-898.458;-398.997;0;29;3497;74;America/Sao_Paulo
2910008;Dário Meira;-144.229;-399.031;0;29;3499;73;America/Sao_Paulo
2910057;Dias d'Ávila;-126.187;-382.926;0;29;3087;71;America/Sao_Paulo
2910107;Dom Basílio;-137.565;-417.677;0;29;3501;77;America/Sao_Paulo
2910206;Dom Macedo Costa;-129.016;-391.923;0;29;3503;75;America/Sao_Paulo
2910305;Elísio Medrado;-129.417;-395.191;0;29;3505;75;America/Sao_Paulo
2910404;Encruzilhada;-155.302;-409.124;0;29;3507;77;America/Sao_Paulo
2910503;Entre Rios;-119.392;-380.871;0;29;3509;75;America/Sao_Paulo
2900504;Érico Cardoso;-134.215;-421.352;0;29;3309;77;America/Sao_Paulo
2910602;Esplanada;-117.942;-379.432;0;29;3511;75;America/Sao_Paulo
2910701;Euclides da Cunha;-105.078;-390.153;0;29;3513;75;America/Sao_Paulo
2910727;Eunápolis;-163.715;-395.821;0;29;3117;73;America/Sao_Paulo
2910750;Fátima;-10.616;-382.239;0;29;3089;75;America/Sao_Paulo
2910776;Feira da Mata;-142.044;-442.744;0;29;3275;77;America/Sao_Paulo
2910800;Feira de Santana;-122.664;-389.663;0;29;3515;75;America/Sao_Paulo
2910859;Filadélfia;-107.405;-401.437;0;29;3091;74;America/Sao_Paulo
2910909;Firmino Alves;-149.823;-399.269;0;29;3517;73;America/Sao_Paulo
2911006;Floresta Azul;-148.629;-396.579;0;29;3519;73;America/Sao_Paulo
2911105;Formosa do Rio Preto;-110.328;-45.193;0;29;3521;77;America/Sao_Paulo
2911204;Gandu;-137.441;-394.747;0;29;3523;73;America/Sao_Paulo
2911253;Gavião;-114.688;-397.757;0;29;3093;75;America/Sao_Paulo
2911303;Gentio do Ouro;-114.342;-425.077;0;29;3525;74;America/Sao_Paulo
2911402;Glória;-934.382;-382.544;0;29;3527;75;America/Sao_Paulo
2911501;Gongogi;-143.195;-39.469;0;29;3529;73;America/Sao_Paulo
2911600;Governador Mangabeira;-125.994;-390.412;0;29;3531;75;America/Sao_Paulo
2911659;Guajeru;-145.467;-419.381;0;29;3095;77;America/Sao_Paulo
2911709;Guanambi;-142.231;-427.799;0;29;3533;77;America/Sao_Paulo
2911808;Guaratinga;-165.833;-397.847;0;29;3535;73;America/Sao_Paulo
2911857;Heliópolis;-106.825;-382.907;0;29;3097;75;America/Sao_Paulo
2911907;Iaçu;-127.666;-402.056;0;29;3537;75;America/Sao_Paulo
2912004;Ibiassucê;-142.711;-42.257;0;29;3539;77;America/Sao_Paulo
2912103;Ibicaraí;-148.579;-395.914;0;29;3541;73;America/Sao_Paulo
2912202;Ibicoara;-134.059;-41.284;0;29;3543;77;America/Sao_Paulo
2912301;Ibicuí;-14.845;-399.879;0;29;3545;73;America/Sao_Paulo
2912400;Ibipeba;-116.438;-420.195;0;29;3547;74;America/Sao_Paulo
2912509;Ibipitanga;-128.804;-424.856;0;29;3551;77;America/Sao_Paulo
2912608;Ibiquera;-126.444;-409.338;0;29;3553;75;America/Sao_Paulo
2912707;Ibirapitanga;-141.649;-393.787;0;29;3555;73;America/Sao_Paulo
2912806;Ibirapuã;-176.832;-401.129;0;29;3557;73;America/Sao_Paulo
2912905;Ibirataia;-140.643;-396.459;0;29;3559;73;America/Sao_Paulo
2913002;Ibitiara;-126.502;-422.179;0;29;3561;77;America/Sao_Paulo
2913101;Ibititá;-115.414;-419.748;0;29;3563;74;America/Sao_Paulo
2913200;Ibotirama;-121.779;-432.167;0;29;3565;77;America/Sao_Paulo
2913309;Ichu;-117.431;-391.905;0;29;3567;75;America/Sao_Paulo
2913408;Igaporã;-13.774;-427.155;0;29;3569;77;America/Sao_Paulo
2913457;Igrapiúna;-138.295;-391.361;0;29;3277;73;America/Sao_Paulo
2913507;Iguaí;-147.528;-400.894;0;29;3571;73;America/Sao_Paulo
2913606;Ilhéus;-14.793;-39.046;0;29;3573;73;America/Sao_Paulo
2913705;Inhambupe;-11.781;-38.355;0;29;3575;75;America/Sao_Paulo
2913804;Ipecaetá;-123.028;-393.069;0;29;3577;75;America/Sao_Paulo
2913903;Ipiaú;-141.226;-397.353;0;29;3579;73;America/Sao_Paulo
2914000;Ipirá;-121.561;-397.359;0;29;3581;75;America/Sao_Paulo
2914109;Ipupiara;-118.219;-426.179;0;29;3583;77;America/Sao_Paulo
2914208;Irajuba;-132.563;-400.848;0;29;3585;73;America/Sao_Paulo
2914307;Iramaia;-132.902;-409.595;0;29;3587;77;America/Sao_Paulo
2914406;Iraquara;-122.429;-416.155;0;29;3589;75;America/Sao_Paulo
2914505;Irará;-120.504;-387.631;0;29;3591;75;America/Sao_Paulo
2914604;Irecê;-113.033;-418.535;0;29;3593;74;America/Sao_Paulo
2914653;Itabela;-165.732;-395.593;0;29;3279;73;America/Sao_Paulo
2914703;Itaberaba;-125.242;-403.059;0;29;3595;75;America/Sao_Paulo
2914802;Itabuna;-147.876;-392.781;0;29;3597;73;America/Sao_Paulo
2914901;Itacaré;-142.784;-389.959;0;29;3599;73;America/Sao_Paulo
2915007;Itaeté;-129.831;-409.677;0;29;3601;75;America/Sao_Paulo
2915106;Itagi;-141.615;-400.131;0;29;3603;73;America/Sao_Paulo
2915205;Itagibá;-142.782;-398.449;0;29;3605;73;America/Sao_Paulo
2915304;Itagimirim;-160.819;-396.133;0;29;3607;73;America/Sao_Paulo
2915353;Itaguaçu da Bahia;-110.147;-423.997;0;29;3281;74;America/Sao_Paulo
2915403;Itaju do Colônia;-151.366;-397.283;0;29;3609;73;America/Sao_Paulo
2915502;Itajuípe;-146.788;-393.698;0;29;3611;73;America/Sao_Paulo
2915601;Itamaraju;-170.378;-395.386;0;29;3613;73;America/Sao_Paulo
2915700;Itamari;-137.782;-39.683;0;29;3615;73;America/Sao_Paulo
2915809;Itambé;-152.429;-40.63;0;29;3617;77;America/Sao_Paulo
2915908;Itanagra;-122.614;-380.436;0;29;3619;75;America/Sao_Paulo
2916005;Itanhém;-171.642;-403.321;0;29;3621;73;America/Sao_Paulo
2916104;Itaparica;-128.932;-38.68;0;29;3623;71;America/Sao_Paulo
2916203;Itapé;-148.876;-394.239;0;29;3625;73;America/Sao_Paulo
2916302;Itapebi;-159.551;-395.329;0;29;3627;73;America/Sao_Paulo
2916401;Itapetinga;-152.475;-402.482;0;29;3629;77;America/Sao_Paulo
2916500;Itapicuru;-113.088;-382.262;0;29;3631;75;America/Sao_Paulo
2916609;Itapitanga;-144.139;-395.657;0;29;3633;73;America/Sao_Paulo
2916708;Itaquara;-134.459;-399.378;0;29;3635;73;America/Sao_Paulo
2916807;Itarantim;-156.528;-40.065;0;29;3637;73;America/Sao_Paulo
2916856;Itatim;-127.099;-396.952;0;29;3283;75;America/Sao_Paulo
2916906;Itiruçu;-13.529;-401.472;0;29;3639;73;America/Sao_Paulo
2917003;Itiúba;-106.948;-398.446;0;29;3641;74;America/Sao_Paulo
2917102;Itororó;-15.11;-400.684;0;29;3643;73;America/Sao_Paulo
2917201;Ituaçu;-138.107;-413.003;0;29;3645;77;America/Sao_Paulo
2917300;Ituberá;-137.249;-391.481;0;29;3647;73;America/Sao_Paulo
2917334;Iuiú;-144.054;-435.595;0;29;3285;77;America/Sao_Paulo
2917359;Jaborandi;-136.071;-444.255;0;29;9859;77;America/Sao_Paulo
2917409;Jacaraci;-148.541;-424.329;0;29;3649;77;America/Sao_Paulo
2917508;Jacobina;-111.812;-405.117;0;29;3651;74;America/Sao_Paulo
2917607;Jaguaquara;-135.248;-39.964;0;29;3653;73;America/Sao_Paulo
2917706;Jaguarari;-102.569;-401.999;0;29;3655;74;America/Sao_Paulo
2917805;Jaguaripe;-131.109;-388.939;0;29;3657;75;America/Sao_Paulo
2917904;Jandaíra;-115.616;-377.853;0;29;3659;75;America/Sao_Paulo
2918001;Jequié;-138.509;-400.877;0;29;3661;73;America/Sao_Paulo
2918100;Jeremoabo;-100.685;-383.471;0;29;3663;75;America/Sao_Paulo
2918209;Jiquiriçá;-132.621;-395.737;0;29;3665;75;America/Sao_Paulo
2918308;Jitaúna;-140.131;-398.969;0;29;3667;73;America/Sao_Paulo
2918357;João Dourado;-113.486;-416.548;0;29;3099;74;America/Sao_Paulo
2918407;Juazeiro;-941.622;-405.033;0;29;3669;74;America/Sao_Paulo
2918456;Jucuruçu;-168.488;-401.641;0;29;3287;73;America/Sao_Paulo
2918506;Jussara;-110.431;-419.702;0;29;3671;74;America/Sao_Paulo
2918555;Jussari;-15.192;-39.491;0;29;3069;73;America/Sao_Paulo
2918605;Jussiape;-135.155;-415.882;0;29;3673;77;America/Sao_Paulo
2918704;Lafaiete Coutinho;-136.541;-402.119;0;29;3675;73;America/Sao_Paulo
2918753;Lagoa Real;-140.334;-421.328;0;29;3289;77;America/Sao_Paulo
2918803;Laje;-131.673;-394.213;0;29;3677;75;America/Sao_Paulo
2918902;Lajedão;-176.056;-403.383;0;29;3679;73;America/Sao_Paulo
2919009;Lajedinho;-123.529;-409.048;0;29;3681;75;America/Sao_Paulo
